original_name	detection_name	coarse_name	training_eligible	mapping_confidence	merge_basis	aliases
juvenile pale chub	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	juvenile pale chub
kelp greenling	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	kelp greenling;Kelp Greenling
large atlantic tarpon	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	large Atlantic tarpon
large goliath tigerfish	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	large goliath tigerfish displaying
large oarfish	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	large oarfish
large ocean sunfish	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	large ocean sunfish;large ocean sunfish drifts
large striped beakfish	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	large striped beakfish
large tigerfish	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	large tigerfish displaying bold horizontal stripes
little red coffinfish	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	Little Red Coffinfish
lunar fusilier	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	Lunar Fusilier;LunarFusilier
moorish idol	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	Moorish Idol;MoorishIdol
moorish idols	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	Moorish idols
new zealand mado	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	New Zealand Mado
ocean sunfish	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	ocean sunfish
pale chub	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	pale chub
phycis phycish	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	Phycis phycish undulates
pinnate spadefish	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	pinnate spadefish
porkfish	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	Porkfish
rabbitfish	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	rabbitfish
rare coelacanth	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	rare coelacanth
rare deep sea coelacanth	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	rare deep-sea coelacanth
razorfish	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	razorfish drifts vertically
redsea bannerfish	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	Redsea Bannerfish;RedseaBannerfish
rock greenling	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	rock greenling lies camouflaged against the
sailfish	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	sailfish;Sailfish;sailfish displaying
scissortail sergeant	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	Scissortail Sergeant;ScissortailSergeant
sebastomus complex	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	Sebastomus complex
sleek unicornfish	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	sleek unicornfish
slender bluespotted cornetfish	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	slender bluespotted cornetfish
slender cornetfish	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	slender cornetfish
smallmouth bass	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	smallmouth bass;Smallmouth bass
spotted drum	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	Spotted Drum;SpottedDrum
striped beakfish	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	striped beakfish;striped beakfish displaying
tigerfish	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	tigerfish
trumpetfish	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	Trumpetfish;trumpetfish hovers vertically
vividly patterned orange and white vermilion	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	vividly patterned orange and white vermilion
embassichthys bathybius	flatfish	fish	yes	high	taxonomy family: Pleuronectidae	Embassichthys bathybius
flatfish	flatfish	fish	yes	high	visual-name rule	flatfish
flounder	flatfish	fish	yes	high	visual-name rule	flounder;Flounder
glyptocephalus zachirus	flatfish	fish	yes	high	visual-name rule	Glyptocephalus zachirus
gulf flounder	flatfish	fish	yes	high	visual-name rule	well-camouflaged gulf flounder
microstomus pacificus	flatfish	fish	yes	high	visual-name rule	Microstomus pacificus
peacock flounder	flatfish	fish	yes	high	visual-name rule	peacock flounder;Peacock flounder;peacock flounder blending into the rocky;peacock flounder lies camouflaged;Peacock flounder partially buried
plaice	flatfish	fish	yes	high	visual-name rule	plaice
pleuronectiformes	flatfish	fish	yes	medium	taxonomy order: Pleuronectiformes	Pleuronectiformes
syacium	flatfish	fish	yes	high	visual-name rule	Syacium
papilloculiceps longiceps	flathead	fish	yes	high	taxonomy family: Platycephalidae	papilloculiceps longiceps
bathysiphon major	foraminifer	foraminifer	yes	high	existing visually distinct group retained	Bathysiphon major
psamminidae	foraminifer	foraminifer	yes	high	existing visually distinct group retained	Psamminidae
psamminidae sp. 1	foraminifer	foraminifer	yes	high	existing visually distinct group retained	Psamminidae sp. 1
cressi guillaume neri	freediver	human	yes	high	freediver visual role	CressiGuillaumeNeri
freediver	freediver	human	yes	high	freediver visual role	freediver
human freediver equipped	freediver	human	yes	high	freediver visual role	human freediver equipped
wetsuit clad freediver	freediver	human	yes	high	freediver visual role	wetsuit-clad freediver;wetsuit-clad freediver explores a rocky underwater
wetsuit clad freediver equipped	freediver	human	yes	high	freediver visual role	wetsuit-clad freediver equipped
antennarius	frogfish	fish	yes	high	visual-name rule	antennarius
antennarius commerson	frogfish	fish	yes	high	visual-name rule	antennarius commerson
bright red giant frogfish	frogfish	fish	yes	high	visual-name rule	bright red giant frogfish
frogfish	frogfish	fish	yes	high	visual-name rule	Frogfish;well-camouflaged frogfish blends into a colorful
painted frogfish	frogfish	fish	yes	high	visual-name rule	painted frogfish
striated frogfish	frogfish	fish	yes	high	visual-name rule	striated frogfish camouflaged against a sandy
warty frogfish	frogfish	fish	yes	high	visual-name rule	warty frogfish camouflaged against a rocky
bathydorus laevis pseudospinosus	glass sponge	sponge	yes	high	glass-sponge taxonomy	Bathydorus laevis pseudospinosus
bathydorus laniger	glass sponge	sponge	yes	high	glass-sponge taxonomy	Bathydorus laniger
bolosoma	glass sponge	sponge	yes	high	glass-sponge taxonomy	Bolosoma
caulophacus	glass sponge	sponge	yes	high	glass-sponge taxonomy	Caulophacus
chonelasma	glass sponge	sponge	yes	high	glass-sponge taxonomy	Chonelasma
docosaccus maculatus	glass sponge	sponge	yes	high	glass-sponge taxonomy	Docosaccus maculatus
euplectellidae	glass sponge	sponge	yes	high	glass-sponge taxonomy	Euplectellidae
farrea	glass sponge	sponge	yes	high	glass-sponge taxonomy	Farrea
farrea occa	glass sponge	sponge	yes	high	glass-sponge taxonomy	Farrea occa
farreidae	glass sponge	sponge	yes	high	glass-sponge taxonomy	Farreidae
hertwigia	glass sponge	sponge	yes	high	glass-sponge taxonomy	Hertwigia
heterochone calyx	glass sponge	sponge	yes	high	glass-sponge taxonomy	Heterochone calyx
hexactinellida	glass sponge	sponge	yes	high	glass-sponge taxonomy	Hexactinellida
hyalonema	glass sponge	sponge	yes	high	glass-sponge taxonomy	Hyalonema
poliopogon	glass sponge	sponge	yes	high	glass-sponge taxonomy	Poliopogon
regadrella	glass sponge	sponge	yes	high	glass-sponge taxonomy	Regadrella
rossellidae	glass sponge	sponge	yes	high	glass-sponge taxonomy	Rossellidae
sclerothamnopsis	glass sponge	sponge	yes	high	glass-sponge taxonomy	Sclerothamnopsis
sclerothamnus	glass sponge	sponge	yes	high	glass-sponge taxonomy	Sclerothamnus
staurocalyptus	glass sponge	sponge	yes	high	glass-sponge taxonomy	Staurocalyptus
staurocalyptus solidus	glass sponge	sponge	yes	high	glass-sponge taxonomy	Staurocalyptus solidus
walteria	glass sponge	sponge	yes	high	glass-sponge taxonomy	Walteria
walteria flemmingi	glass sponge	sponge	yes	high	glass-sponge taxonomy	Walteria flemmingi
upeneus parvus	goatfish	fish	yes	high	taxonomy family: Mullidae	Upeneus parvus
yellowfin goatfish	goatfish	fish	yes	high	visual-name rule	yellowfin goatfish
fire dartfish	goby and dartfish	fish	yes	high	visual-name rule	fire dartfish hovers gracefully
fire goby	goby and dartfish	fish	yes	high	visual-name rule	Fire Goby;FireGoby
nemateleotris magnifica	goby and dartfish	fish	yes	high	visual-name rule	nemateleotris magnifica
ptereleotris	goby and dartfish	fish	yes	high	taxonomy family: Microdesmidae	Ptereleotris
twin spot goby	goby and dartfish	fish	yes	high	visual-name rule	Twin-spot Goby;Twin-spotGoby
yellow goby	goby and dartfish	fish	yes	high	visual-name rule	yellow goby sheltering
acanella weberi	gorgonian coral	coral	yes	high	branching fan/whip morphology and taxonomy	Acanella weberi
callistephanus kofoidi	gorgonian coral	coral	yes	high	branching fan/whip morphology and taxonomy	Callistephanus kofoidi
calyptrophora angularis	gorgonian coral	coral	yes	high	branching fan/whip morphology and taxonomy	Calyptrophora angularis
candidella gigantea	gorgonian coral	coral	yes	high	branching fan/whip morphology and taxonomy	Candidella gigantea
chrysogorgia	gorgonian coral	coral	yes	high	branching fan/whip morphology and taxonomy	Chrysogorgia
chrysogorgia geniculata	gorgonian coral	coral	yes	high	branching fan/whip morphology and taxonomy	Chrysogorgia geniculata
chrysogorgiidae	gorgonian coral	coral	yes	high	branching fan/whip morphology and taxonomy	Chrysogorgiidae
iridogorgia	gorgonian coral	coral	yes	high	branching fan/whip morphology and taxonomy	Iridogorgia
iridogorgia bella	gorgonian coral	coral	yes	high	branching fan/whip morphology and taxonomy	Iridogorgia bella
iridogorgia magnispiralis	gorgonian coral	coral	yes	high	branching fan/whip morphology and taxonomy	Iridogorgia magnispiralis
isidella	gorgonian coral	coral	yes	high	branching fan/whip morphology and taxonomy	Isidella
isidella tentaculum	gorgonian coral	coral	yes	high	branching fan/whip morphology and taxonomy	Isidella tentaculum
isididae	gorgonian coral	coral	yes	high	branching fan/whip morphology and taxonomy	Isididae
keratoisididae	gorgonian coral	coral	yes	high	branching fan/whip morphology and taxonomy	Keratoisididae
keratoisis	gorgonian coral	coral	yes	high	branching fan/whip morphology and taxonomy	Keratoisis
lepidisis	gorgonian coral	coral	yes	high	branching fan/whip morphology and taxonomy	Lepidisis
metallogorgia melanotrichos	gorgonian coral	coral	yes	high	branching fan/whip morphology and taxonomy	Metallogorgia melanotrichos
parastenella	gorgonian coral	coral	yes	high	branching fan/whip morphology and taxonomy	Parastenella
pleurogorgia militaris	gorgonian coral	coral	yes	high	branching fan/whip morphology and taxonomy	Pleurogorgia militaris
plexauridae	gorgonian coral	coral	yes	high	branching fan/whip morphology and taxonomy	Plexauridae
primnoidae	gorgonian coral	coral	yes	high	branching fan/whip morphology and taxonomy	Primnoidae
swiftia	gorgonian coral	coral	yes	high	branching fan/whip morphology and taxonomy	Swiftia
swiftia kofoidi	gorgonian coral	coral	yes	high	branching fan/whip morphology and taxonomy	Swiftia kofoidi
swiftia simplex	gorgonian coral	coral	yes	high	branching fan/whip morphology and taxonomy	Swiftia simplex
agrammus	greenling	fish	yes	high	taxonomy family: Hexagrammidae	agrammus
hexagrammos otakii	greenling	fish	yes	high	taxonomy family: Hexagrammidae	hexagrammos otakii
black grouper	grouper	fish	yes	high	visual-name rule	black grouper
blackspotted grouper	grouper	fish	yes	high	visual-name rule	blackspotted grouper
brown marbled grouper	grouper	fish	yes	high	visual-name rule	brown-marbled grouper
dusky grouper	grouper	fish	yes	high	visual-name rule	dusky grouper
epinephelus	grouper	fish	yes	high	visual-name rule	Epinephelus
epinephelus morio	grouper	fish	yes	high	visual-name rule	Epinephelus morio
giant grouper	grouper	fish	yes	high	visual-name rule	giant grouper;Giant grouper
grouper	grouper	fish	yes	high	visual-name rule	grouper
humpback grouper	grouper	fish	yes	high	visual-name rule	Humpback Grouper;HumpbackGrouper
hyporthodus flavolimbatus	grouper	fish	yes	high	visual-name rule	Hyporthodus flavolimbatus
large atlantic goliath grouper	grouper	fish	yes	high	visual-name rule	large Atlantic goliath grouper
large goliath grouper	grouper	fish	yes	high	visual-name rule	large goliath grouper
malabar grouper	grouper	fish	yes	high	visual-name rule	Malabar grouper emerges from a coral
massive giant grouper	grouper	fish	yes	high	visual-name rule	massive giant grouper
mycteroperca interstitialis	grouper	fish	yes	high	visual-name rule	Mycteroperca interstitialis
mycteroperca microlepis	grouper	fish	yes	high	visual-name rule	Mycteroperca microlepis
mycteroperca phenax	grouper	fish	yes	high	visual-name rule	Mycteroperca phenax
nassau grouper	grouper	fish	yes	high	visual-name rule	Nassau grouper
peacock grouper	grouper	fish	yes	high	visual-name rule	peacock grouper;Peacock Grouper;PeacockGrouper
potato grouper	grouper	fish	yes	high	visual-name rule	Potato Grouper;PotatoGrouper
red grouper	grouper	fish	yes	high	visual-name rule	Red Grouper
redmouth grouper	grouper	fish	yes	high	visual-name rule	Redmouth Grouper;RedmouthGrouper
spotted grouper	grouper	fish	yes	high	visual-name rule	spotted grouper camouflaged
strawberry grouper	grouper	fish	yes	high	visual-name rule	strawberry grouper peeks out from beneath
anyperodon leucogrammicus	grouper and seabass	fish	yes	high	taxonomy family: Serranidae	Anyperodon Leucogrammicus;AnyperodonLeucogrammicus
centropristis ocyurus	grouper and seabass	fish	yes	high	taxonomy family: Serranidae	Centropristis ocyurus
centropristis philadelphica	grouper and seabass	fish	yes	high	taxonomy family: Serranidae	Centropristis philadelphica
dermatolepis inermis	grouper and seabass	fish	yes	high	taxonomy family: Serranidae	Dermatolepis inermis
paranthias furcifer	grouper and seabass	fish	yes	high	taxonomy family: Serranidae	Paranthias furcifer
pronotogrammus martinicensis	grouper and seabass	fish	yes	high	taxonomy family: Serranidae	Pronotogrammus martinicensis
pseudanthias pleurotaenia	grouper and seabass	fish	yes	high	taxonomy family: Serranidae	Pseudanthias Pleurotaenia;PseudanthiasPleurotaenia
serranus annularis	grouper and seabass	fish	yes	high	taxonomy family: Serranidae	Serranus annularis
serranus phoebe	grouper and seabass	fish	yes	high	taxonomy family: Serranidae	Serranus phoebe
african striped grunt	grunt and sweetlips	fish	yes	high	visual-name rule	African striped grunt
dotted sweetlips	grunt and sweetlips	fish	yes	high	visual-name rule	dotted sweetlips
haemulon aurolineatum	grunt and sweetlips	fish	yes	high	visual-name rule	Haemulon aurolineatum
oriental sweetlips	grunt and sweetlips	fish	yes	high	visual-name rule	oriental sweetlips
widenose guitarfish	guitarfish	ray	yes	high	distinct shark-like ray body plan	Widenose guitarfish
eptatretus	hagfish	hagfish	yes	high	existing visually distinct group retained	Eptatretus
grey hagfish slithers	hagfish	hagfish	yes	high	existing visually distinct group retained	grey hagfish slithers
hagfish	hagfish	hagfish	yes	high	existing visually distinct group retained	hagfish
merluccius productus	hake	fish	yes	high	visual-name rule	Merluccius productus
hammerhead	hammerhead shark	shark	yes	high	distinct hammer-shaped head	hammerhead
sphyrna lewini	hammerhead shark	shark	yes	high	distinct hammer-shaped head	Sphyrna lewini
dendrophylliidae	hard coral	coral	yes	high	stony-coral taxonomy/visual form	Dendrophylliidae
enallopsammia rostrata	hard coral	coral	yes	high	stony-coral taxonomy/visual form	Enallopsammia rostrata
scleractinia	hard coral	coral	yes	high	stony-coral taxonomy/visual form	Scleractinia
paguroidea	hermit crab	hermit crab	yes	high	existing visually distinct group retained	Paguroidea
pagurus tanneri	hermit crab	hermit crab	yes	high	existing visually distinct group retained	Pagurus tanneri
horseshoe crab	horseshoe crab	horseshoe crab	yes	high	existing visually distinct group retained	horseshoe crab
two horseshoe crabs are seen	horseshoe crab	horseshoe crab	yes	high	existing visually distinct group retained	Two horseshoe crabs are seen moving
grey smooth hound	houndshark	shark	yes	high	houndshark visual/taxonomic group	grey smooth-hound
japanese topeshark	houndshark	shark	yes	high	houndshark visual/taxonomic group	japanese topeshark
animated human character	human depiction	human	review	medium	non-photographic human depiction	animated human character
cartoon girl	human depiction	human	review	medium	non-photographic human depiction	cartoon girl
hydractiniidae	hydroid	hydroid	yes	high	existing visually distinct group retained	Hydractiniidae
hydroid	hydroid	hydroid	yes	high	existing visually distinct group retained	hydroid
hydroidolina	hydroid	hydroid	yes	high	existing visually distinct group retained	Hydroidolina
aglantha digitale	hydromedusa	jellyfish	yes	high	hydrozoan medusa group: Trachymedusae	Aglantha digitale
benthocodon	hydromedusa	jellyfish	yes	high	hydrozoan medusa group: Trachymedusae	Benthocodon
benthocodon pedunculata	hydromedusa	jellyfish	yes	high	hydrozoan medusa group: Trachymedusae	Benthocodon pedunculata
colobonema sericeum	hydromedusa	jellyfish	yes	high	hydrozoan medusa group: Trachymedusae	Colobonema sericeum
crossota alba	hydromedusa	jellyfish	yes	high	hydrozoan medusa group: Trachymedusae	Crossota alba
crossota millsae	hydromedusa	jellyfish	yes	high	hydrozoan medusa group: Trachymedusae	Crossota millsae
halicreas	hydromedusa	jellyfish	yes	high	hydrozoan medusa group: Trachymedusae	Halicreas
haliscera bigelowi	hydromedusa	jellyfish	yes	high	hydrozoan medusa group: Trachymedusae	Haliscera bigelowi
haliscera conica	hydromedusa	jellyfish	yes	high	hydrozoan medusa group: Trachymedusae	Haliscera conica
halitrephes maasi	hydromedusa	jellyfish	yes	high	hydrozoan medusa group: Trachymedusae	Halitrephes maasi
hydromedusae	hydromedusa	jellyfish	yes	high	hydrozoan medusa group: hydromedusae	Hydromedusae
hydrozoa	hydromedusa	jellyfish	yes	high	hydrozoan medusa group: hydrozoa	Hydrozoa
melicertum octocostatum	hydromedusa	jellyfish	yes	high	hydrozoan medusa group: Leptothecata	Melicertum octocostatum
mitrocoma	hydromedusa	jellyfish	yes	high	hydrozoan medusa group: Leptothecata	Mitrocoma
mitrocoma cellularia	hydromedusa	jellyfish	yes	high	hydrozoan medusa group: Leptothecata	Mitrocoma cellularia
modeeria	hydromedusa	jellyfish	yes	high	hydrozoan medusa group: Leptothecata	Modeeria
modeeria rotunda	hydromedusa	jellyfish	yes	high	hydrozoan medusa group: Leptothecata	Modeeria rotunda
narcomedusae	hydromedusa	jellyfish	yes	high	hydrozoan medusa group: Narcomedusae	Narcomedusae
pantachogon	hydromedusa	jellyfish	yes	high	hydrozoan medusa group: Trachymedusae	Pantachogon
phialidium	hydromedusa	jellyfish	yes	high	hydrozoan medusa group: Leptothecata	Phialidium
ptychogastria polaris	hydromedusa	jellyfish	yes	high	hydrozoan medusa group: Trachymedusae	Ptychogastria polaris
ptychogena	hydromedusa	jellyfish	yes	high	hydrozoan medusa group: Leptothecata	Ptychogena
ptychogena hyperborea	hydromedusa	jellyfish	yes	high	hydrozoan medusa group: Leptothecata	Ptychogena hyperborea
ptychogena lactea	hydromedusa	jellyfish	yes	high	hydrozoan medusa group: Leptothecata	Ptychogena lactea
rhopalonematidae	hydromedusa	jellyfish	yes	high	hydrozoan medusa group: Trachymedusae	Rhopalonematidae
solmaris	hydromedusa	jellyfish	yes	high	hydrozoan medusa group: Narcomedusae	Solmaris
solmissus	hydromedusa	jellyfish	yes	high	hydrozoan medusa group: Narcomedusae	Solmissus
solmissus incisa	hydromedusa	jellyfish	yes	high	hydrozoan medusa group: Narcomedusae	Solmissus incisa
trachymedusae	hydromedusa	jellyfish	yes	high	hydrozoan medusa group: Trachymedusae	Trachymedusae
acanthamunnopsis milleri	isopod	isopod	yes	high	existing visually distinct group retained	Acanthamunnopsis milleri
isopod	isopod	isopod	yes	high	existing visually distinct group retained	isopod
isopoda	isopod	isopod	yes	high	existing visually distinct group retained	Isopoda
munnopsidae	isopod	isopod	yes	high	existing visually distinct group retained	Munnopsidae
vanhoeffenura pulchra	isopod	isopod	yes	high	existing visually distinct group retained	Vanhoeffenura pulchra
alectis ciliaris	jack and trevally	fish	yes	high	taxonomy family: Carangidae	Alectis ciliaris
bigeye trevally	jack and trevally	fish	yes	high	visual-name rule	Bigeye trevally
bluefin trevally	jack and trevally	fish	yes	high	visual-name rule	bluefin trevally
caranx crysos	jack and trevally	fish	yes	high	visual-name rule	Caranx crysos
caranx ignobilis	jack and trevally	fish	yes	high	visual-name rule	caranx ignobilis
giant trevally	jack and trevally	fish	yes	high	visual-name rule	giant trevally
golden trevally	jack and trevally	fish	yes	high	visual-name rule	golden trevally
highfin amberjack	jack and trevally	fish	yes	high	visual-name rule	Highfin Amberjack
seriola	jack and trevally	fish	yes	high	visual-name rule	Seriola
seriola dumerili	jack and trevally	fish	yes	high	visual-name rule	Seriola dumerili
seriola rivoliana	jack and trevally	fish	yes	high	visual-name rule	Seriola rivoliana
jellyfish	jellyfish (mixed/unspecified)	jellyfish	review	low	one aggregated row contains several jellyfish forms	Aegina;Aegina citrea;Aegina rosea;Aegina sp. 1;blue jellyfish;Deepstaria jellyfish drifts gracefully;Flame Jellyfish;Fried Egg Jellyfish;FriedEggJellyfish;jellyfish;large blue jellyfish;large lion's mane jellyfish;large lion's mane jellyfish drifts gracefully;Lion's Mane Jellyfish;lion's mane jellyfish drifts;lion's mane jellyfish drifts gracefully;LionSManeJellyfish;lone Flame Jellyfish gracefully drifts;medusa;moon jellyfish;Moon Jellyfish;moon jellyfish drifts gracefully;MoonJellyfish;purple-striped jellyfish drifts gracefully;spotted jellyfish drifts gently;spotted jellyfish drifts gracefully;translucent box jellyfish drifting;translucent box jellyfish drifts;translucent Deepstaria jellyfish drifts slowly;translucent jellyfish drifts slowly;translucent lion's mane jellyfish drifts;translucent moon jellyfish;translucent moon jellyfish drifts gracefully;vibrant lion's mane jellyfish;vibrant purple jellyfish drifts gracefully;vibrant sea nettle jellyfish drifts gracefully;white upside-down jellyfish
euphausiacea	krill	krill	yes	high	existing visually distinct group retained	Euphausiacea
lamprey	lamprey	lamprey	yes	high	existing visually distinct group retained	lamprey
toy lamprey	lamprey	lamprey	yes	high	existing visually distinct group retained	toy lamprey
velvet belly lanternshark	lanternshark	shark	yes	high	deep-sea lanternshark group	velvet belly lanternshark
appendicularia	larvacean	larvacean	yes	high	existing visually distinct group retained	Appendicularia
ascidian larvacean	larvacean	larvacean	yes	high	existing visually distinct group retained	ascidian larvacean
bathochordaeus	larvacean	larvacean	yes	high	existing visually distinct group retained	Bathochordaeus;Bathochordaeus charon;Bathochordaeus mcnutti;Bathochordaeus stygius
larvacean	larvacean	larvacean	yes	high	existing visually distinct group retained	larvacean
american lobster	lobster	lobster	yes	high	existing visually distinct group retained	American lobster
caribbean spiny lobster	lobster	lobster	yes	high	existing visually distinct group retained	Caribbean spiny lobster;Caribbean spiny lobster hiding;Caribbean spiny lobsters
european lobster	lobster	lobster	yes	high	existing visually distinct group retained	European lobster
homarus	lobster	lobster	yes	high	existing visually distinct group retained	Homarus
large california spiny lobster	lobster	lobster	yes	high	existing visually distinct group retained	large California spiny lobster
lobster	lobster	lobster	yes	high	existing visually distinct group retained	lobster;Lobsters
norway lobster	lobster	lobster	yes	high	existing visually distinct group retained	Norway lobster
spiny lobster	lobster	lobster	yes	high	existing visually distinct group retained	spiny lobster;Spiny Lobster;spiny lobster sheltering beneath a rocky;SpinyLobster
manatee	manatee	manatee	yes	high	existing visually distinct group retained	manatee;Manatee;solitary manatee;West Indian manatee;West Indian manatee calf;West Indian manatee calmly;West Indian manatee slowly
west indian manatees	manatee	manatee	yes	high	existing visually distinct group retained	West Indian manatees
giant manta ray	manta ray	ray	yes	high	distinct manta-ray body plan	giant manta ray;giant manta ray gracefully
graceful manta ray	manta ray	ray	yes	high	distinct manta-ray body plan	graceful manta ray
graceful reef manta ray	manta ray	ray	yes	high	distinct manta-ray body plan	graceful reef manta ray
large manta ray	manta ray	ray	yes	high	distinct manta-ray body plan	large manta ray;large manta ray gracefully
manta ray	manta ray	ray	yes	high	distinct manta-ray body plan	manta ray;Manta Ray;manta ray gracefully;MantaRay
manta rescue	manta ray	ray	yes	high	distinct manta-ray body plan	MantaRescue
reef manta ray	manta ray	ray	yes	high	distinct manta-ray body plan	reef manta ray gracefully
solitary manta ray	manta ray	ray	yes	high	distinct manta-ray body plan	solitary manta ray soars gracefully
brilliantly colored peacock mantis shrimp	mantis shrimp	mantis shrimp	yes	high	existing visually distinct group retained	brilliantly colored peacock mantis shrimp peers
colorful peacock mantis shrimp	mantis shrimp	mantis shrimp	yes	high	existing visually distinct group retained	colorful peacock mantis shrimp stands alert
mantis shrimp	mantis shrimp	mantis shrimp	yes	high	existing visually distinct group retained	mantis shrimp;Mantis Shrimp;MantisShrimp
vibrant peacock mantis shrimp	mantis shrimp	mantis shrimp	yes	high	existing visually distinct group retained	vibrant peacock mantis shrimp;vibrant peacock mantis shrimp peeks out
vibrantly colored peacock mantis shrimp	mantis shrimp	mantis shrimp	yes	high	existing visually distinct group retained	vibrantly colored peacock mantis shrimp;vibrantly colored peacock mantis shrimp exploring
vividly colored mantis shrimp	mantis shrimp	mantis shrimp	yes	high	existing visually distinct group retained	vividly colored mantis shrimp peering out
vividly colored peacock mantis shrimp	mantis shrimp	mantis shrimp	yes	high	existing visually distinct group retained	vividly colored peacock mantis shrimp peers
boots	marine debris	marine debris	yes	high	existing visually distinct group retained	Boots
can	marine debris	marine debris	yes	high	existing visually distinct group retained	Can
glass bottle	marine debris	marine debris	yes	high	existing visually distinct group retained	Glass Bottle;GlassBottle
glasses	marine debris	marine debris	yes	high	existing visually distinct group retained	Glasses
phone	marine debris	marine debris	yes	high	existing visually distinct group retained	Phone
plastic bag	marine debris	marine debris	yes	high	existing visually distinct group retained	Plastic Bag;PlasticBag
plastic bottle	marine debris	marine debris	yes	high	existing visually distinct group retained	Plastic Bottle;PlasticBottle
plastic box	marine debris	marine debris	yes	high	existing visually distinct group retained	Plastic Box;PlasticBox
plastic cup	marine debris	marine debris	yes	high	existing visually distinct group retained	Plastic Cup;PlasticCup
surgical mask	marine debris	marine debris	yes	high	existing visually distinct group retained	Surgical Mask;SurgicalMask
tyre	marine debris	marine debris	yes	high	existing visually distinct group retained	Tyre
marine iguana	marine iguana	marine iguana	yes	high	existing visually distinct group retained	marine iguana
male mermaid performer	mermaid performer	human	yes	high	costumed underwater performer	male mermaid performer
mermaid	mermaid performer	human	yes	high	costumed underwater performer	mermaid;Mermaid
mermaid performer	mermaid performer	human	yes	high	costumed underwater performer	mermaid performer
person dressed as a merman	mermaid performer	human	yes	high	costumed underwater performer	person dressed as a merman
boreomysis	mysid	mysid	yes	high	existing visually distinct group retained	Boreomysis
boreomysis californica	mysid	mysid	yes	high	existing visually distinct group retained	Boreomysis californica
mysida	mysid	mysid	yes	high	existing visually distinct group retained	Mysida
mysidacea	mysid	mysid	yes	high	existing visually distinct group retained	Mysidacea
mysidae	mysid	mysid	yes	high	existing visually distinct group retained	Mysidae
chambered nautilus	nautilus	nautilus	yes	high	existing visually distinct group retained	Chambered Nautilus
nautilus	nautilus	nautilus	yes	high	existing visually distinct group retained	Nautilus
slender needlefish	needlefish and halfbeak	fish	yes	high	visual-name rule	slender needlefish
